id	Peptide IDs	Mod. Peptide IDs	Evidence IDs	MS/MS IDs	Oxidation (M) Site IDs	Phospho (STY) Site IDs	Oxidation (M) Site Positions	Phospho (STY) Site Positions	Protein IDs	Majority Protein IDs	Peptide Counts (all)	Peptide Counts (razor+unique)	Peptide Counts (unique)	Protein Names	Gene Names	Protein Descriptions	Proteins	Peptides	Razor + unique Peptides	Unique Peptides	Peptides MAPK1_E322K	Peptides MAPK1_WT	Razor + unique Peptides MAPK1_E322K	Razor + unique Peptides MAPK1_WT	Unique Peptides MAPK1_E322K	Unique Peptides MAPK1_WT	Sequence Coverage [%]	Unique + Razor Sequence Coverage [%]	Unique Sequence Coverage [%]	Mol. Weight [kDa]	Sequence Length	Experiment MAPK1_E322K	Experiment MAPK1_WT	PEP	Sequence Coverage MAPK1_E322K [%]	Sequence Coverage MAPK1_WT [%]	Intensity	Intensity MAPK1_E322K	Intensity MAPK1_WT	iBAQ	iBAQ MAPK1_E322K	iBAQ MAPK1_WT	LFQ Intensity MAPK1_E322K	LFQ Intensity MAPK1_WT	MS/MS Count MAPK1_E322K	MS/MS Count MAPK1_WT	Only identified by site	Reverse	Contaminant
10	1667;1668	1723;1724	3868;3869;3870;3871	3308;3309;3310					CON__P02662	CON__P02662	2	2	2			>P02662 SWISS-PROT:P02662 Alpha-S1-casein - Bos taurus (Bovine).	1	2	2	2	2	2	2	2	2	2	10.6	10.6	10.6	22.975	199	2	2	0.00099511	10.6	10.6	0	0	0	0	0	0	0	0	0	0			+
11	237	247	580	499		19		517	CON__P02672	CON__P02672	1	1	1			>P02672 SWISS-PROT:P02672 (Bos taurus) Fibrinogen alpha chain precursor	1	1	1	1	0	1	0	1	0	1	2.6	2.6	2.6	67.011	615		1	0.079067	0	2.6	0	0	0	0	0	0	0	0	0	0	+		+
12	31;359;393;394;460;654;1003;1026;1199;1255;1256;1313;1319;1320;1651;1675;1676	32;377;411;412;479;683;1046;1069;1245;1302;1303;1360;1366;1367;1706;1731;1732	71;72;73;839;840;919;920;921;922;1065;1066;1539;1540;1541;1542;1543;1544;1545;2376;2377;2378;2379;2425;2426;2427;2428;2429;2813;2948;2949;2950;2951;2952;2953;2954;2955;2956;2957;2958;2959;2960;3091;3092;3093;3094;3106;3107;3108;3835;3836;3886;3887;3888;3889;3890;3891;3892	54;55;707;773;774;775;776;892;1323;1324;1325;1326;1327;2035;2036;2037;2080;2081;2082;2083;2397;2398;2526;2527;2528;2529;2530;2531;2532;2533;2534;2535;2536;2537;2538;2539;2540;2541;2542;2543;2544;2545;2546;2547;2548;2657;2658;2659;2660;2668;2669;2670;2671;2672;3278;3279;3321;3322;3323;3324;3325;3326		16;17;20;21;1316		19;37;58;71;554	CON__P04259	CON__P04259	17	3	3	Cytokeratin-6B;Keratin, type II cytoskeletal 6B;Keratin-6B;Type-II keratin Kb10	K6B;KRT6B;KRTL1	>P04259 SWISS-PROT:P04259 Tax_Id=9606 Gene_Symbol=KRT6B Keratin, type II cytoskeletal 6B	1	17	3	3	16	16	3	3	3	3	21.3	2.7	2.7	59.998	564	4	4	4.957E-146	21.3	19.5	0	0	0	0	0	0	0	0	0	0			+
13	525;1246;1657	545;1293;1712	1215;2927;3846;3847;3848	1014;2503;2504;2505;3288;3289					CON__P04264;P04264	CON__P04264;P04264	3;3	1;1	1;1	67 kDa cytokeratin;Cytokeratin-1;Hair alpha protein;Keratin, type II cytoskeletal 1;Keratin-1;Type-II keratin Kb1	KRT1;KRTA	>P04264 SWISS-PROT:P04264 Tax_Id=9606 Gene_Symbol=KRT1 Keratin, type II cytoskeletal 1;>P04264|K2C1_HUMAN Keratin, type II cytoskeletal 1 |Homo sapiens	2	3	1	1	1	3	0	1	0	1	4.5	1.2	1.2	66.017	644		1	1.1334E-10	1.6	4.5	1855500	0	1855500	53014	0	53014	0	1855500	0	3			+
14	47;359;525;674;1420;1529;1565	48;377;545;705;1468;1578;1616	107;108;839;840;1215;1599;1600;3334;3335;3336;3576;3656;3657;3658;3659	82;83;84;707;1014;1380;2843;2844;2845;3057;3058;3059;3123;3124		22;23;24;25		24;37;43;432	CON__P05787;P05787;CON__P19013;P19013;CON__H-INV:HIT000292931;P14136;CON__Q6KB66-1;Q6KB66	CON__P05787;P05787	7;7;2;2;2;2;1;1	5;5;0;0;0;0;0;0	5;5;0;0;0;0;0;0	Cytokeratin-8;Keratin, type II cytoskeletal 8;Keratin-8;Type-II keratin Kb8	CYK8;KRT8	>P05787 SWISS-PROT:P05787 Tax_Id=9606 Gene_Symbol=KRT8 Keratin, type II cytoskeletal 8;>P05787|K2C8_HUMAN Keratin, type II cytoskeletal 8 |Homo sapiens	8	7	5	5	5	7	4	5	4	5	18	14.3	14.3	53.704	483	5	7	4.3553E-29	7.5	18	0	0	0	0	0	0	0	0	0	0			+
15	128;964	135;1007	307;308;309;310;2292;2293	247;248;249;250;251;252;1968		26;1317		12;35	CON__P08727;P08727;CON__P19001	CON__P08727;P08727;CON__P19001	2;2;1	2;2;1	2;2;1	Cytokeratin-19;Keratin, type I cytoskeletal 19;Keratin-19	KRT19;Krt1-19;Krt19	>P08727 SWISS-PROT:P08727 Tax_Id=9606 Gene_Symbol=KRT19 Keratin, type I cytoskeletal 19;>P08727|K1C19_HUMAN Keratin, type I cytoskeletal 19 |Homo sapiens;>P19001 SWISS-PROT:P19001 Tax_Id=10090 Gene_Symbol=Krt19 Keratin, type I cytoskeletal 19	3	2	2	2	2	2	2	2	2	2	7	7	7	44.091	400	3	3	6.5281E-09	7	7	0	0	0	0	0	0	0	0	0	0			+
16	30;359;525;667;918;1235;1459	31;377;545;697;960;1282;1508	67;68;69;70;839;840;1215;1581;1582;1583;2153;2154;2898;2899;2900;2901;2902;3418	52;53;707;1014;1362;1363;1819;2481;2482;2483;2484;2485;2938		27;28;29;30		2;27;28;45	CON__P08729;CON__Q3KNV1;P08729;CON__Q9DCV7	CON__P08729;CON__Q3KNV1;P08729	7;7;7;3	6;6;6;2	5;5;5;1	Cytokeratin-7;Keratin, type II cytoskeletal 7;Keratin-7;Sarcolectin;Type-II keratin Kb7;KRT7 protein;Putative uncharacterized protein	KRT7;SCL	>P08729 SWISS-PROT:P08729 Tax_Id=9606 Gene_Symbol=KRT7 Keratin, type II cytoskeletal 7;>Q3KNV1 TREMBL:Q3KNV1;Q96GE1 Tax_Id=9606 Gene_Symbol=KRT7 keratin 7;>P08729|K2C7_HUMAN Keratin, type II cytoskeletal 7 |Homo sapiens	4	7	6	5	6	6	5	5	5	4	21.3	19.8	17.5	51.417	469	9	7	2.5767E-45	19	15.6	5921700	4329800	1591900	174170	127350	46820	12869000	0	2	2			+
17	157;337;455;675;941;942	164;354;474;706;983;984;985	380;381;791;792;793;794;1056;1057;1601;1602;1603;2211;2212;2213;2214;2215;2216;2217;2218;2219;2220;2221;2222;2223;2224;2225;2226;2227;2228;2229;2230;2231;2232;2233;2234;2235;2236;2237;2238;2239;2240;2241;2242;2243	326;677;678;679;886;887;1381;1382;1884;1885;1886;1887;1888;1889;1890;1891;1892;1893;1894;1895;1896;1897;1898;1899;1900;1901;1902;1903;1904;1905;1906;1907;1908;1909;1910;1911;1912;1913;1914;1915;1916;1917;1918;1919;1920;1921;1922;1923;1924	0	12;31;32;33;1314	14	13;32;364;451;452	CON__P08779;P08779	CON__P08779;P08779	6;6	1;1	1;1	Cytokeratin-16;Keratin, type I cytoskeletal 16;Keratin-16	KRT16;KRT16A	>P08779 SWISS-PROT:P08779 Tax_Id=9606 Gene_Symbol=KRT16 Keratin, type I cytoskeletal 16;>P08779|K1C16_HUMAN Keratin, type I cytoskeletal 16 |Homo sapiens	2	6	1	1	6	6	1	1	1	1	12.7	2.5	2.5	51.267	473	2	2	1.2319E-85	12.7	12.7	0	0	0	0	0	0	0	0	0	0			+
18	1644	1699	3822;3823	3267;3268					P04406;CON__P10096	P04406;CON__P10096	1;1	1;1	1;1	Glyceraldehyde-3-phosphate dehydrogenase	CDABP0047;GAPD;GAPDH;OK/SW-cl.12	>P04406|G3P_HUMAN Glyceraldehyde-3-phosphate dehydrogenase |Homo sapiens;>P10096 SWISS-PROT:P10096 (Bos taurus) Glyceraldehyde-3-phosphate dehydrogenase	2	1	1	1	0	1	0	1	0	1	6.3	6.3	6.3	36.053	335		2	0.0099732	0	6.3	1618000	0	1618000	85159	0	85159	0	1618000	0	2			+
19	198;199;515;516	207;208;535;536	486;487;488;489;490;491;492;1180;1181;1182;1183;1184;1185;1186;1187;1188;1189;1190;1191;1192	410;411;412;413;414;415;416;417;418;419;420;421;422;423;424;974;975;976;977;978;979;980;981;982;983;984;985;986;987;988;989;990;991;992;993;994		34;35;36;37		138;323;324;325	CON__P12763;P02765	CON__P12763;P02765	4;2	4;2	4;2	Alpha-2-HS-glycoprotein;Alpha-2-HS-glycoprotein chain A;Alpha-2-HS-glycoprotein chain B;Alpha-2-Z-globulin;Ba-alpha-2-glycoprotein;Fetuin-A	AHSG;FETUA;PRO2743	>P12763 SWISS-PROT:P12763 (Bos taurus) Alpha-2-HS-glycoprotein precursor;>P02765|FETUA_HUMAN Alpha-2-HS-glycoprotein |Homo sapiens	2	4	4	4	4	4	4	4	4	4	13.6	13.6	13.6	38.418	359	10	10	3.3222E-114	13.6	13.6	0	0	0	0	0	0	0	0	0	0			+
20	464	483	1072;1073	896					CON__P13645;P13645	CON__P13645;P13645	1;1	1;1	1;1	Cytokeratin-10;Keratin, type I cytoskeletal 10;Keratin-10	KPP;KRT10	>P13645 SWISS-PROT:P13645 Tax_Id=9606 Gene_Symbol=KRT10 Keratin, type I cytoskeletal 10;>P13645|K1C10_HUMAN Keratin, type I cytoskeletal 10 |Homo sapiens	2	1	1	1	1	1	1	1	1	1	3.2	3.2	3.2	59.51	593	1	1	0.0037041	3.2	3.2	710970	399730	311240	25392	14276	11116	0	311240	0	1			+
21	835	872	1983;1984	1701		38		421	CON__P13646-1;P13646	CON__P13646-1;P13646	1;1	1;1	1;1	Cytokeratin-13;Keratin, type I cytoskeletal 13;Keratin-13	KRT13	>P13646-1 SWISS-PROT:P13646-1 Tax_Id=9606 Gene_Symbol=KRT13 Isoform 1 of Keratin, type I cytoskeletal 13;>P13646|K1C13_HUMAN Keratin, type I cytoskeletal 13 |Homo sapiens	2	1	1	1	1	1	1	1	1	1	3.1	3.1	3.1	49.586	458	1	1	0.056875	3.1	3.1	0	0	0	0	0	0	0	0	0	0	+		+
22	359;376;412;413;414;656;1028;1189;1190;1201;1202;1257;1258;1327;1337;1517;1518;1609;1610;1611;1651;1658	377;394;430;431;432;685;1071;1235;1236;1247;1248;1304;1305;1374;1384;1566;1567;1662;1663;1664;1665;1706;1713	839;840;877;960;961;962;963;964;965;966;967;968;969;970;971;1548;1549;1550;1551;1552;1553;2431;2432;2433;2434;2435;2436;2780;2781;2782;2783;2784;2785;2786;2787;2788;2789;2790;2791;2792;2823;2824;2825;2961;2962;2963;2964;2965;2966;3123;3124;3148;3149;3546;3547;3548;3549;3550;3551;3552;3755;3756;3757;3758;3759;3760;3761;3762;3835;3836;3849;3850	707;734;798;799;800;801;802;803;804;805;806;1329;1330;1331;1332;1333;1334;1335;1336;1337;1338;1339;1340;1341;1342;2085;2086;2087;2360;2361;2362;2363;2364;2365;2366;2367;2368;2369;2370;2371;2372;2373;2374;2375;2376;2377;2378;2379;2380;2419;2420;2421;2422;2423;2424;2549;2550;2551;2552;2553;2554;2555;2556;2557;2558;2559;2560;2684;2703;3033;3034;3035;3036;3037;3038;3039;3040;3041;3042;3212;3213;3214;3215;3216;3217;3218;3219;3220;3221;3278;3279;3290		39;40;41;42;43;44;45;46;47;48		5;11;34;36;38;64;75;77;572;573	CON__P13647;P13647;CON__Q5XQN5;CON__Q922U2	CON__P13647;P13647	22;22;10;4	22;22;10;4	20;20;9;3	58 kDa cytokeratin;Cytokeratin-5;Keratin, type II cytoskeletal 5;Keratin-5;Type-II keratin Kb5	KRT5	>P13647 SWISS-PROT:P13647 Tax_Id=9606 Gene_Symbol=KRT5 Keratin, type II cytoskeletal 5;>P13647|K2C5_HUMAN Keratin, type II cytoskeletal 5 |Homo sapiens	4	22	22	20	20	22	20	22	18	20	25.3	25.3	22.4	62.378	590	34	38	5.3011E-225	24.4	25.3	5849900	1480100	4369900	167140	42288	124850	2494500	6274400	2	3			+
23	573	594	1336;1337	1120		49		481	CON__P28800	CON__P28800	1	1	1			>P28800 SWISS-PROT:P28800 (Bos taurus) Alpha-2-antiplasmin precursor	1	1	1	1	1	1	1	1	1	1	3.3	3.3	3.3	54.71	492	1	1	0.0011016	3.3	3.3	0	0	0	0	0	0	0	0	0	0			+
24	492;1458	512;1507	1132;3417	939;2937					CON__P35527;P35527	CON__P35527;P35527	2;2	2;2	2;2	Cytokeratin-9;Keratin, type I cytoskeletal 9;Keratin-9	KRT9	>P35527 SWISS-PROT:P35527 Tax_Id=9606 Gene_Symbol=KRT9 Keratin, type I cytoskeletal 9;>P35527|K1C9_HUMAN Keratin, type I cytoskeletal 9 |Homo sapiens	2	2	2	2	0	2	0	2	0	2	4.2	4.2	4.2	62.129	623		2	0.00025969	0	4.2	597360	0	597360	19912	0	19912	0	597360	0	2			+
25	31;82;83;359;391;392;460;654;1001;1002;1026;1199;1255;1256;1313;1319;1320;1651;1675;1676	32;85;86;87;377;409;410;479;683;1044;1045;1069;1245;1302;1303;1360;1366;1367;1706;1731;1732	71;72;73;190;191;192;193;194;195;196;197;198;199;200;201;839;840;910;911;912;913;914;915;916;917;918;1065;1066;1539;1540;1541;1542;1543;1544;1545;2365;2366;2367;2368;2369;2370;2371;2372;2373;2374;2375;2425;2426;2427;2428;2429;2813;2948;2949;2950;2951;2952;2953;2954;2955;2956;2957;2958;2959;2960;3091;3092;3093;3094;3106;3107;3108;3835;3836;3886;3887;3888;3889;3890;3891;3892	54;55;145;146;147;148;149;150;151;152;707;755;756;757;758;759;760;761;762;763;764;765;766;767;768;769;770;771;772;892;1323;1324;1325;1326;1327;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2080;2081;2082;2083;2397;2398;2526;2527;2528;2529;2530;2531;2532;2533;2534;2535;2536;2537;2538;2539;2540;2541;2542;2543;2544;2545;2546;2547;2548;2657;2658;2659;2660;2668;2669;2670;2671;2672;3278;3279;3321;3322;3323;3324;3325;3326		13;14;15;16;17;21;1315		22;37;58;71;540;541;554	CON__P48668;P48668	CON__P48668;P48668	20;20	1;1	0;0	Cytokeratin-6C;Cytokeratin-6E;Keratin K6h;Keratin, type II cytoskeletal 6C;Keratin-6C;Type-II keratin Kb12	KRT6C;KRT6E	>P48668 SWISS-PROT:P48668 Tax_Id=9606 Gene_Symbol=KRT6C Keratin, type II cytoskeletal 6C;>P48668|K2C6C_HUMAN Keratin, type II cytoskeletal 6C |Homo sapiens	2	20	1	0	19	19	1	0	0	0	24.3	1.8	0	60.024	564	1		8.4956E-223	24.3	22.5	0	0	0	0	0	0	0	0	0	0			+
26	57;217;235;263;264;372;501;539;585	58;226;245;276;277;390;521;559;560;606	130;131;542;576;577;632;633;634;868;1151;1240;1241;1242;1243;1244;1245;1246;1247;1365;1366	107;470;497;545;546;728;951;1032;1033;1034;1035;1036;1144	1;2;3		227;269;283		CON__P60712;P60709;P63261;P62736;P68032;P68133;P63267;Q6S8J3;A5A3E0;P0CG38;P0CG39	CON__P60712;P60709;P63261;P62736;P68032;P68133;P63267	9;9;8;5;5;5;5;2;1;1;1	9;9;8;5;5;5;5;2;1;1;1	7;7;6;3;3;3;3;2;1;1;1	Actin, cytoplasmic 1;Actin, cytoplasmic 1, N-terminally processed;Beta-actin;Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed;Gamma-actin;Actin, aortic smooth muscle;Alpha-actin-2;Cell growth-inhibiting gene 46 protein;Actin, alpha cardiac muscle 1;Alpha-cardiac actin;Actin, alpha skeletal muscle;Alpha-actin-1;Actin, gamma-enteric smooth muscle;Alpha-actin-3;Gamma-2-actin;Smooth muscle gamma-actin	ACTB;ACTG;ACTG1;ACTA2;ACTSA;ACTVS;GIG46;ACTC;ACTC1;ACTA;ACTA1;ACTA3;ACTG2;ACTL3;ACTSG	>P60712 SWISS-PROT:P60712 (Bos taurus) Actin, cytoplasmic 1;>P60709|ACTB_HUMAN Actin, cytoplasmic 1 |Homo sapiens;>P63261|ACTG_HUMAN Actin, cytoplasmic 2 |Homo sapiens;>P62736|ACTA_HUMAN Actin, aortic smooth muscle |Homo sapiens;>P68032|ACTC_HUMAN Actin, a	11	9	9	7	6	8	6	8	5	6	35.2	35.2	30.1	41.736	375	10	10	1.9432E-30	19.7	35.2	19668000	14543000	5124200	855110	632320	222790	17232000	31118000	6	7			+
